Frame	Value1	Value2
0	1	0
0.1	0.9405	0.0685
0.2	0.864	0.168
0.3	0.7735	0.2895
0.4	0.672	0.424
0.5	0.5625	0.5625
0.6	0.448	0.696
0.7	0.3315	0.8155
0.8	0.216	0.912
0.9	0.1045	0.9765
1	-1.19209e-007	1
1.1	-0.109	0.981
1.2	-0.232	0.928
1.3	-0.363	0.847
1.4	-0.496	0.744
1.5	-0.625	0.625
1.6	-0.744	0.496
1.7	-0.847	0.363
1.8	-0.928	0.232
1.9	-0.981	0.109
2	-1	-2.38419e-007
2.1	-0.981	-0.109
2.2	-0.928	-0.232
2.3	-0.847	-0.363
2.4	-0.744	-0.496
2.5	-0.625	-0.625
2.6	-0.496	-0.744
2.7	-0.363001	-0.847
2.8	-0.232001	-0.928
2.9	-0.109001	-0.981
3	-7.15256e-007	-1
3.1	0.104499	-0.9765
3.2	0.215999	-0.912001
3.3	0.331499	-0.815501
3.4	0.447999	-0.696001
3.5	0.562499	-0.562502
3.6	0.671999	-0.424002
3.7	0.773499	-0.289502
3.8	0.863999	-0.168002
3.9	0.940499	-0.0685014
4	0.999999	-8.34465e-007
